cycle_number,cycle_id,timestamp,events,successful_quotes,profitable_events,losing_events,execution_candidates,executed_trades,realized_profit_usd,average_composite_score,best_event_profit_usd,worst_event_profit_usd
1,CYCLE-000001-20260730T140940000000,2026-07-30 14:09:40,100,100,0,100,0,0,0,42.27228,-0.0013600000000000261,-0.18618199999999996
2,CYCLE-000002-20260730T184642000000,2026-07-30 18:46:42,100,100,0,100,0,0,0,66.325225,-0.0016579999999999356,-0.025746999999999964
3,CYCLE-000003-20260730T191221000000,2026-07-30 19:12:21,100,99,0,99,0,0,0,70.892475,-0.0015750000000001024,-0.01030900000000001
4,CYCLE-000004-20260730T205554000000,2026-07-30 20:55:54,100,99,0,99,0,0,0,64.95095,-0.0013320000000001091,-0.023998999999999993
5,CYCLE-000005-20260730T213118000000,2026-07-30 21:31:18,100,99,0,99,0,0,0,68.148905,-0.0010129999999999289,-0.031776000000000026
6,CYCLE-000006-20260730T214218000000,2026-07-30 21:42:18,100,100,1,99,1,0,0,58.5449,0.025919000000000025,-0.20155100000000004
7,CYCLE-000007-20260731T024036000000,2026-07-31 02:40:36,100,100,0,100,0,0,0,57.686825,-0.0016190000000000353,-0.026703000000000032
8,CYCLE-000008-20260731T031232000000,2026-07-31 03:12:32,100,100,0,100,0,3,-0.24682973305849445,67.4057875,-0.0014259999999999256,-0.103881
9,CYCLE-000009-20260731T034122000000,2026-07-31 03:41:22,100,100,0,100,0,0,0,72.78616489999999,-0.0004340000000000437,-0.021935999999999956
10,CYCLE-000010-20260731T035444000000,2026-07-31 03:54:44,100,100,1,99,0,0,0,66.7325757,0.00012600000000007223,-0.02673800000000004
11,CYCLE-000011-20260731T040859000000,2026-07-31 04:08:59,100,100,1,99,0,0,0,71.5508421,0.00113399999999997,-0.021930000000000005
12,CYCLE-000012-20260731T042406000000,2026-07-31 04:24:06,100,100,0,100,0,0,0,78.6823907,-0.0012369999999999309,-0.011982000000000046
13,CYCLE-000013-20260731T043323000000,2026-07-31 04:33:23,100,100,0,100,0,0,0,70.8900888,-0.0017339999999999006,-0.030544000000000016
