feature,positive_count,negative_count,positive_mean,negative_mean,mean_difference,positive_median,negative_median,median_difference,pooled_standard_deviation,standardized_mean_difference,positive_minimum,positive_maximum,negative_minimum,negative_maximum,separation_direction
market_score,1,896,19.16,69.23531249999999,-50.075312499999995,19.16,79.70500000000001,-60.545000000000016,0.0,0.0,19.16,19.16,1.87,97.37,POSITIVE_LOWER
liquidity_score,1,896,21.1,70.78821428571429,-49.68821428571429,21.1,82.73,-61.63,0.0,0.0,21.1,21.1,0.0,100.0,POSITIVE_LOWER
volume_score,1,896,24.16,70.32306919642858,-46.16306919642858,24.16,82.32,-58.16,0.0,0.0,24.16,24.16,0.0,100.0,POSITIVE_LOWER
pair_score,1,896,0.0,61.67627232142858,-61.67627232142858,0.0,75.77,-75.77,0.0,0.0,0.0,0.0,0.0,84.26,POSITIVE_LOWER
intelligence_score,1,896,0.0,14.955800669642857,-14.955800669642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0879,POSITIVE_LOWER
composite_market_score,1,896,15.855,63.27928207589286,-47.42428207589286,15.855,72.40625,-56.551249999999996,0.0,0.0,15.855,15.855,1.581,95.36278999999999,POSITIVE_LOWER
minimum_component_score,1,896,0.0,12.033308593749998,-12.033308593749998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26,POSITIVE_LOWER
maximum_component_score,1,896,24.16,79.34805803571429,-55.18805803571429,24.16,87.27,-63.11,0.0,0.0,24.16,24.16,3.4,100.0,POSITIVE_LOWER
score_dispersion,1,896,10.639867668350016,24.956970620842554,-14.317102952492538,10.639867668350016,30.99547361271458,-20.355605944364562,0.0,0.0,10.639867668350016,10.639867668350016,1.2875185435557812,42.693052174797714,POSITIVE_LOWER
cost_bps,1,896,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,POSITIVE_LOWER
estimated_cost_usd,1,896,0.002,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.002,0.002,0.002,POSITIVE_LOWER
