feature,direction,threshold,selected_events,selected_positive,selected_negative,win_rate_pct,average_profit_usd,total_profit_usd,median_profit_usd,best_profit_usd,worst_profit_usd,precision,recall,false_positive_rate,training_cycle_start,training_cycle_end
market_score,HIGHER,97.37,1,0,1,0.0,-0.0017700000000000476,-0.0017700000000000476,-0.0017700000000000476,-0.0017700000000000476,-0.0017700000000000476,0.0,0.0,0.0011160714285714285,1,9
intelligence_score,HIGHER,87.0879,1,0,1,0.0,-0.001969000000000108,-0.001969000000000108,-0.001969000000000108,-0.001969000000000108,-0.001969000000000108,0.0,0.0,0.0011160714285714285,1,9
composite_market_score,HIGHER,95.36278999999999,1,0,1,0.0,-0.001969000000000108,-0.001969000000000108,-0.001969000000000108,-0.001969000000000108,-0.001969000000000108,0.0,0.0,0.0011160714285714285,1,9
minimum_component_score,HIGHER,84.26,4,0,4,0.0,-0.0014830000000000104,-0.005932000000000041,-0.0018219999999999886,-0.0004340000000000437,-0.0018540000000000206,0.0,0.0,0.004464285714285714,1,9
liquidity_score,HIGHER,100.0,9,0,9,0.0,-0.0018506666666666903,-0.016656000000000212,-0.0018530000000001028,-0.001668000000000001,-0.001980000000000091,0.0,0.0,0.010044642857142858,1,9
volume_score,HIGHER,100.0,9,0,9,0.0,-0.0018831111111111054,-0.01694799999999995,-0.0018899999999999455,-0.0017700000000000476,-0.001969000000000108,0.0,0.0,0.010044642857142858,1,9
intelligence_score,HIGHER,84.65216842105262,11,0,11,0.0,-0.0017759999999999978,-0.019535999999999977,-0.0019340000000001006,-0.0004340000000000437,-0.0020139999999999585,0.0,0.0,0.012276785714285714,1,9
score_dispersion,LOWER,1.2875185435557812,1,0,1,0.0,-0.022499000000000047,-0.022499000000000047,-0.022499000000000047,-0.022499000000000047,-0.022499000000000047,0.0,0.0,0.0011160714285714285,1,9
maximum_component_score,HIGHER,100.0,18,0,18,0.0,-0.001866888888888898,-0.03360400000000016,-0.0018859999999999415,-0.001668000000000001,-0.001980000000000091,0.0,0.0,0.020089285714285716,1,9
minimum_component_score,HIGHER,83.31863157894738,18,0,18,0.0,-0.0020817777777777675,-0.03747199999999981,-0.0019025000000000274,-0.0004340000000000437,-0.006569999999999963,0.0,0.0,0.020089285714285716,1,9
intelligence_score,HIGHER,83.24107894736842,22,0,22,0.0,-0.002095454545454545,-0.04609999999999999,-0.0019195000000000722,-0.0004340000000000437,-0.006569999999999963,0.0,0.0,0.024553571428571428,1,9
minimum_component_score,HIGHER,82.19068421052631,26,0,26,0.0,-0.002289346153846152,-0.05952299999999995,-0.0019620000000000175,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.029017857142857144,1,9
intelligence_score,HIGHER,81.43147368421052,32,0,32,0.0,-0.002243500000000004,-0.07179200000000013,-0.0019745000000000994,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.03571428571428571,1,9
minimum_component_score,HIGHER,80.52163684210527,34,0,34,0.0,-0.0022209999999999973,-0.07551399999999991,-0.001944500000000014,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.03794642857142857,1,9
market_score,HIGHER,94.65842105263157,47,0,47,0.0,-0.0019422553191489388,-0.09128600000000012,-0.0019379999999999935,-0.0004340000000000437,-0.0025049999999999777,0.0,0.0,0.052455357142857144,1,9
minimum_component_score,HIGHER,79.22977368421053,42,0,42,0.0,-0.0022291190476190436,-0.09362299999999983,-0.0019620000000000175,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.046875,1,9
intelligence_score,HIGHER,80.24316315789474,43,0,43,0.0,-0.0022364186046511633,-0.09616600000000002,-0.001988000000000099,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.04799107142857143,1,9
composite_market_score,HIGHER,86.66397368421052,47,0,47,0.0,-0.0022304893617021274,-0.10483299999999998,-0.001980000000000091,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.052455357142857144,1,9
pair_score,HIGHER,84.26,37,0,37,0.0,-0.0029186216216216167,-0.10798899999999982,-0.0022459999999999685,-0.0004340000000000437,-0.008006999999999985,0.0,0.0,0.041294642857142856,1,9
minimum_component_score,HIGHER,76.02757894736843,50,0,50,0.0,-0.0023406399999999945,-0.11703199999999972,-0.0019745000000000994,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.05580357142857143,1,9
intelligence_score,HIGHER,79.32431052631578,53,0,53,0.0,-0.0022084905660377336,-0.11704999999999989,-0.001988000000000099,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.05915178571428571,1,9
intelligence_score,HIGHER,77.93651052631579,64,0,64,0.0,-0.00229909375,-0.147142,-0.001991500000000033,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.07142857142857142,1,9
minimum_component_score,HIGHER,75.16587894736843,61,0,61,0.0,-0.0025143114754098304,-0.15337299999999965,-0.0020139999999999585,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.06808035714285714,1,9
liquidity_score,HIGHER,97.24421052631578,85,0,85,0.0,-0.0020180941176470633,-0.17153800000000038,-0.0019830000000000663,-0.0004340000000000437,-0.002611999999999946,0.0,0.0,0.09486607142857142,1,9
intelligence_score,HIGHER,76.93313157894737,74,0,74,0.0,-0.0023520135135135147,-0.1740490000000001,-0.0020019999999999465,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.08258928571428571,1,9
minimum_component_score,HIGHER,73.19947368421053,68,0,68,0.0,-0.0026496764705882295,-0.18017799999999962,-0.002130499999999978,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.07589285714285714,1,9
