run_id,scenario_id,category,description,expected_control,control_observed,contained,recovered,idempotent,state_corruption,false_live_execution,unhandled_exception,exception,recovery_time_ms,before_state_json,after_state_json,details_json
fa979bdf-1b28-4f5d-949a-d2e420feb881,RPC_OUTAGE,RPC,All RPC calls fail immediately.,RPC_FAILURE_CONTAINED,RPC_FAILURE_CONTAINED,True,True,True,False,False,False,,0.4287180054234341,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""retry_scheduled"": true}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,RPC_RATE_LIMIT,RPC,RPC returns a rate-limit response.,BACKOFF_WITHOUT_EXECUTION,BACKOFF_WITHOUT_EXECUTION,True,True,True,False,False,False,,0.060681006289087236,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""backoff_ms"": 687}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,STALE_BLOCKHASH,TRANSACTION,Blockhash expires before confirmation.,BLOCKHASH_RETRY_REQUIRED,BLOCKHASH_RETRY_REQUIRED,True,True,True,False,False,False,,0.02404600672889501,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""replacement_required"": true}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,MALFORMED_QUOTE,QUOTE,Quote response is missing required fields.,QUOTE_REJECTED,QUOTE_REJECTED,True,True,True,False,False,False,,0.029761999030597508,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""missing_fields"": [""ending_amount_usd"", ""starting_amount_usd""]}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,QUOTE_TIMEOUT,QUOTE,Quote request exceeds timeout.,TIMEOUT_CONTAINED,TIMEOUT_CONTAINED,True,True,True,False,False,False,,0.022719992557540536,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}",{}
fa979bdf-1b28-4f5d-949a-d2e420feb881,DELAYED_CONFIRMATION,CONFIRMATION,Confirmation exceeds the maximum wait.,CONFIRMATION_TIMEOUT,CONFIRMATION_TIMEOUT,True,True,True,False,False,False,,0.02059500548057258,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""blind_retry_prevented"": true}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,DUPLICATE_ATTEMPT,IDEMPOTENCY,The same attempt is processed twice.,DUPLICATE_BLOCKED,DUPLICATE_BLOCKED,True,True,True,False,False,False,,0.030629991670139134,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 2, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""first_accepted"": true, ""second_accepted"": false}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,DATABASE_LOCK,DATABASE,SQLite write encounters an exclusive lock.,DATABASE_RETRY_OR_ROLLBACK,DATABASE_RETRY_OR_ROLLBACK,True,True,True,False,False,False,,305.92638699454255,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""lock_detected"": true, ""rows_after_recovery"": 1}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,PARTIAL_DATABASE_WRITE,DATABASE,A transaction fails after one audit insert.,ATOMIC_ROLLBACK,ATOMIC_ROLLBACK,True,True,True,False,False,False,,6.212050997419283,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""rows_after_rollback"": 0}"
fa979bdf-1b28-4f5d-949a-d2e420feb881,REPORT_EXPORT_FAILURE,FILESYSTEM,Report export fails after temporary output.,ATOMIC_EXPORT_FAILURE,ATOMIC_EXPORT_FAILURE,True,True,True,False,False,False,,5.951030005235225,"{""audit_event_count"": 0, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}","{""audit_event_count"": 1, ""consecutive_losses"": 0, ""emergency_stop"": false, ""live_execution_enabled"": false, ""processed_attempt_ids"": [""DUPLICATE-TEST""], ""transaction_broadcasting_enabled"": false, ""transaction_signing_enabled"": false, ""wallet_connected"": false}",{}
