institutional_event_id,institutional_schema_version,source_type,source_dataset,source_schema_version,source_row_id,source_event_id,source_cycle_id,source_cycle_number,event_time,scan_time,token,token_key,mint,asset_key,decision,outcome,quote_successful,eligible,research_eligible,validation_status,validation_quality_score,validation_errors,validation_warnings,starting_amount_usd,ending_amount_usd,gross_profit_usd,estimated_cost_usd,net_profit_usd,gross_edge_bps,net_edge_bps,total_cost_bps,slippage_bps,price_impact_bps,network_fee_usd,dex_fee_usd,slippage_cost_usd,liquidity_usd,volume_24h_usd,volume_liquidity_ratio,buy_route,sell_route,route_pair,route_hops,dex_count,market_score,liquidity_score,volume_score,pair_score,intelligence_score,ai_priority,opportunity_probability,expected_profit_usd,combined_confidence,prediction_confidence,downside_risk,trend_score,stability_score,score_mean,score_std,score_min,score_max,score_range,quote_latency_ms,quote_age_ms,is_stale_quote,is_high_latency,is_high_price_impact,is_high_cost,is_low_liquidity,is_low_activity,enrichment_quality_score,cycle_position,cycle_size,cycle_elapsed_seconds,scanner_speed_tokens_per_minute,raw_source_payload
HISTORICAL:CYCLE-000001-20260730T140940000000:00000001,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,1,1,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,ZEC,ZEC,,SYMBOL:ZEC,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.00064,0.0006399999999999739,0.002,-0.0013600000000000261,6.399999999999739,-13.60000000000026,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HumidiFi → Meteora DLMM → Aquifer,GoonFi V2,HumidiFi → Meteora DLMM → Aquifer || GoonFi V2,0,0,92.22,91.78,95.75,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,1,0,0.0,0.0,"{""event_number"":1,""source_event_id"":1,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":1,""token"":""ZEC"",""token_key"":""ZEC"",""mint"":null,""asset_key"":""SYMBOL:ZEC"",""buy_route"":""HumidiFi → Meteora DLMM → Aquifer"",""sell_route"":""GoonFi V2"",""route_pair"":""HumidiFi → Meteora DLMM → Aquifer || GoonFi V2"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.00064,""quoted_profit_usd"":0.0006399999999999739,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0013600000000000261,""gross_return_bps"":6.399999999999739,""cost_bps"":20.0,""net_return_bps"":-13.60000000000026,""gross_to_cost_ratio"":0.31999999999998696,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":92.22,""liquidity_score"":91.78,""volume_score"":95.75,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":82.382,""score_dispersion"":36.585550371697295,""minimum_component_score"":0.0,""maximum_component_score"":95.75,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000002,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,2,2,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,hyloSOL,HYLOSOL,,SYMBOL:HYLOSOL,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000573,0.0005729999999999347,0.002,-0.0014270000000000654,5.729999999999347,-14.270000000000653,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riptide → GoonFi V2 → Manifest,Whirlpool → AlphaQ → TesseraV,Riptide → GoonFi V2 → Manifest || Whirlpool → AlphaQ → TesseraV,0,0,7.61,1.7,12.75,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,2,0,0.0,0.0,"{""event_number"":2,""source_event_id"":2,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":2,""token"":""hyloSOL"",""token_key"":""HYLOSOL"",""mint"":null,""asset_key"":""SYMBOL:HYLOSOL"",""buy_route"":""Riptide → GoonFi V2 → Manifest"",""sell_route"":""Whirlpool → AlphaQ → TesseraV"",""route_pair"":""Riptide → GoonFi V2 → Manifest || Whirlpool → AlphaQ → TesseraV"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000573,""quoted_profit_usd"":0.0005729999999999347,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0014270000000000654,""gross_return_bps"":5.729999999999347,""cost_bps"":20.0,""net_return_bps"":-14.270000000000653,""gross_to_cost_ratio"":0.28649999999996734,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":7.61,""liquidity_score"":1.7,""volume_score"":12.75,""pair_score"":11.61,""intelligence_score"":0.0,""composite_market_score"":6.999499999999999,""score_dispersion"":5.126849324877805,""minimum_component_score"":0.0,""maximum_component_score"":12.75,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000003,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,3,3,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,JUP,JUP,,SYMBOL:JUP,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000262,0.00026199999999998447,0.002,-0.0017380000000000156,2.6199999999998447,-17.380000000000155,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HumidiFi,Raydium CP → Raydium CLMM,HumidiFi || Raydium CP → Raydium CLMM,0,0,84.18,80.45,88.39,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,3,0,0.0,0.0,"{""event_number"":3,""source_event_id"":3,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":3,""token"":""JUP"",""token_key"":""JUP"",""mint"":null,""asset_key"":""SYMBOL:JUP"",""buy_route"":""HumidiFi"",""sell_route"":""Raydium CP → Raydium CLMM"",""route_pair"":""HumidiFi || Raydium CP → Raydium CLMM"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000262,""quoted_profit_usd"":0.00026199999999998447,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017380000000000156,""gross_return_bps"":2.6199999999998447,""cost_bps"":20.0,""net_return_bps"":-17.380000000000155,""gross_to_cost_ratio"":0.13099999999999223,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":84.18,""liquidity_score"":80.45,""volume_score"":88.39,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":75.6655,""score_dispersion"":33.80956515544085,""minimum_component_score"":0.0,""maximum_component_score"":88.39,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000004,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,4,4,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,Infinex,INFINEX,,SYMBOL:INFINEX,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.00025,0.0002500000000000835,0.002,-0.0017499999999999166,2.500000000000835,-17.499999999999165,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Whirlpool,Aquifer → Byreal → GoonFi V2,Whirlpool || Aquifer → Byreal → GoonFi V2,0,0,16.8,11.05,27.76,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,4,0,0.0,0.0,"{""event_number"":4,""source_event_id"":4,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":4,""token"":""Infinex"",""token_key"":""INFINEX"",""mint"":null,""asset_key"":""SYMBOL:INFINEX"",""buy_route"":""Whirlpool"",""sell_route"":""Aquifer → Byreal → GoonFi V2"",""route_pair"":""Whirlpool || Aquifer → Byreal → GoonFi V2"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.00025,""quoted_profit_usd"":0.0002500000000000835,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017499999999999166,""gross_return_bps"":2.500000000000835,""cost_bps"":20.0,""net_return_bps"":-17.499999999999165,""gross_to_cost_ratio"":0.12500000000004174,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":16.8,""liquidity_score"":11.05,""volume_score"":27.76,""pair_score"":4.82,""intelligence_score"":0.0,""composite_market_score"":14.077500000000002,""score_dispersion"":9.673009045793352,""minimum_component_score"":0.0,""maximum_component_score"":27.76,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000005,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,5,5,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,USDT,USDT,,SYMBOL:USDT,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000249,0.0002489999999999437,0.002,-0.0017510000000000563,2.489999999999437,-17.510000000000563,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riptide,GoonFi V2 → Whirlpool,Riptide || GoonFi V2 → Whirlpool,0,0,96.6,100.0,97.45,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,5,0,0.0,0.0,"{""event_number"":5,""source_event_id"":5,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":5,""token"":""USDT"",""token_key"":""USDT"",""mint"":null,""asset_key"":""SYMBOL:USDT"",""buy_route"":""Riptide"",""sell_route"":""GoonFi V2 → Whirlpool"",""route_pair"":""Riptide || GoonFi V2 → Whirlpool"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000249,""quoted_profit_usd"":0.0002489999999999437,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017510000000000563,""gross_return_bps"":2.489999999999437,""cost_bps"":20.0,""net_return_bps"":-17.510000000000563,""gross_to_cost_ratio"":0.12449999999997186,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":96.6,""liquidity_score"":100.0,""volume_score"":97.45,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":86.091,""score_dispersion"":38.21535523843786,""minimum_component_score"":0.0,""maximum_component_score"":100.0,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000006,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,6,6,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,SPYx,SPYX,,SYMBOL:SPYX,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000235,0.00023499999999998522,0.002,-0.0017650000000000148,2.349999999999852,-17.650000000000148,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AlphaQ → Whirlpool,AlphaQ,AlphaQ → Whirlpool || AlphaQ,0,0,87.93,87.54,89.8,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,6,0,0.0,0.0,"{""event_number"":6,""source_event_id"":6,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":6,""token"":""SPYx"",""token_key"":""SPYX"",""mint"":null,""asset_key"":""SYMBOL:SPYX"",""buy_route"":""AlphaQ → Whirlpool"",""sell_route"":""AlphaQ"",""route_pair"":""AlphaQ → Whirlpool || AlphaQ"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000235,""quoted_profit_usd"":0.00023499999999998522,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017650000000000148,""gross_return_bps"":2.349999999999852,""cost_bps"":20.0,""net_return_bps"":-17.650000000000148,""gross_to_cost_ratio"":0.11749999999999261,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":87.93,""liquidity_score"":87.54,""volume_score"":89.8,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":78.845,""score_dispersion"":34.988702405205025,""minimum_component_score"":0.0,""maximum_component_score"":89.8,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000007,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,7,7,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,JLP,JLP,,SYMBOL:JLP,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000233,0.0002329999999999277,0.002,-0.0017670000000000723,2.329999999999277,-17.670000000000723,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riptide → Manifest → GoonFi V2,Whirlpool,Riptide → Manifest → GoonFi V2 || Whirlpool,0,0,94.38,98.58,93.48,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,7,0,0.0,0.0,"{""event_number"":7,""source_event_id"":7,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":7,""token"":""JLP"",""token_key"":""JLP"",""mint"":null,""asset_key"":""SYMBOL:JLP"",""buy_route"":""Riptide → Manifest → GoonFi V2"",""sell_route"":""Whirlpool"",""route_pair"":""Riptide → Manifest → GoonFi V2 || Whirlpool"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000233,""quoted_profit_usd"":0.0002329999999999277,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017670000000000723,""gross_return_bps"":2.329999999999277,""cost_bps"":20.0,""net_return_bps"":-17.670000000000723,""gross_to_cost_ratio"":0.11649999999996385,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":94.38,""liquidity_score"":98.58,""volume_score"":93.48,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":84.276,""score_dispersion"":37.35704356610678,""minimum_component_score"":0.0,""maximum_component_score"":98.58,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000008,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,8,8,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,SOL,SOL,,SYMBOL:SOL,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.00023,0.00022999999999995246,0.002,-0.0017700000000000476,2.2999999999995246,-17.700000000000475,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riptide → HumidiFi,Raydium CLMM → Manifest,Riptide → HumidiFi || Raydium CLMM → Manifest,0,0,97.37,99.43,100.0,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,8,0,0.0,0.0,"{""event_number"":8,""source_event_id"":8,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":8,""token"":""SOL"",""token_key"":""SOL"",""mint"":null,""asset_key"":""SYMBOL:SOL"",""buy_route"":""Riptide → HumidiFi"",""sell_route"":""Raydium CLMM → Manifest"",""route_pair"":""Riptide → HumidiFi || Raydium CLMM → Manifest"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.00023,""quoted_profit_usd"":0.00022999999999995246,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017700000000000476,""gross_return_bps"":2.2999999999995246,""cost_bps"":20.0,""net_return_bps"":-17.700000000000475,""gross_to_cost_ratio"":0.11499999999997623,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":97.37,""liquidity_score"":99.43,""volume_score"":100.0,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":86.6895,""score_dispersion"":38.532388142963576,""minimum_component_score"":0.0,""maximum_component_score"":100.0,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000009,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,9,9,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,JitoSOL,JITOSOL,,SYMBOL:JITOSOL,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000215,0.00021500000000007624,0.002,-0.0017849999999999238,2.1500000000007624,-17.849999999999238,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riptide → GoonFi V2 → AlphaQ,AlphaQ → Raydium CLMM → Deriverse,Riptide → GoonFi V2 → AlphaQ || AlphaQ → Raydium CLMM → Deriverse,0,0,94.42,97.17,95.18,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,9,0,0.0,0.0,"{""event_number"":9,""source_event_id"":9,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":9,""token"":""JitoSOL"",""token_key"":""JITOSOL"",""mint"":null,""asset_key"":""SYMBOL:JITOSOL"",""buy_route"":""Riptide → GoonFi V2 → AlphaQ"",""sell_route"":""AlphaQ → Raydium CLMM → Deriverse"",""route_pair"":""Riptide → GoonFi V2 → AlphaQ || AlphaQ → Raydium CLMM → Deriverse"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000215,""quoted_profit_usd"":0.00021500000000007624,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017849999999999238,""gross_return_bps"":2.1500000000007624,""cost_bps"":20.0,""net_return_bps"":-17.849999999999238,""gross_to_cost_ratio"":0.10750000000003812,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":94.42,""liquidity_score"":97.17,""volume_score"":95.18,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":84.2755,""score_dispersion"":37.36595156021053,""minimum_component_score"":0.0,""maximum_component_score"":97.17,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
HISTORICAL:CYCLE-000001-20260730T140940000000:00000010,13B.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,10,10,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,USD1,USD1,,SYMBOL:USD1,SKIP,NEGATIVE,True,False,False,HISTORICAL_UNVALIDATED,0.0,0,0,1.0,1.000203,0.00020299999999995322,0.002,-0.0017970000000000468,2.029999999999532,-17.970000000000468,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Invariant → Whirlpool → AlphaQ,Manifest → GoonFi V2 → PancakeSwap,Invariant → Whirlpool → AlphaQ || Manifest → GoonFi V2 → PancakeSwap,0,0,91.97,95.75,90.65,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,10,0,0.0,0.0,"{""event_number"":10,""source_event_id"":10,""timestamp"":""2026-07-30 14:09:40"",""cycle_number"":1,""cycle_id"":""CYCLE-000001-20260730T140940000000"",""cycle_position"":10,""token"":""USD1"",""token_key"":""USD1"",""mint"":null,""asset_key"":""SYMBOL:USD1"",""buy_route"":""Invariant → Whirlpool → AlphaQ"",""sell_route"":""Manifest → GoonFi V2 → PancakeSwap"",""route_pair"":""Invariant → Whirlpool → AlphaQ || Manifest → GoonFi V2 → PancakeSwap"",""starting_amount_usd"":1.0,""ending_amount_usd"":1.000203,""quoted_profit_usd"":0.00020299999999995322,""estimated_cost_usd"":0.002,""net_profit_usd"":-0.0017970000000000468,""gross_return_bps"":2.029999999999532,""cost_bps"":20.0,""net_return_bps"":-17.970000000000468,""gross_to_cost_ratio"":0.10149999999997661,""decision_raw"":""🔴 SKIP"",""decision"":""SKIP"",""eligible"":false,""quote_successful"":true,""profitable"":false,""error"":null,""market_score"":91.97,""liquidity_score"":95.75,""volume_score"":90.65,""pair_score"":84.14,""intelligence_score"":0.0,""composite_market_score"":82.2795,""score_dispersion"":36.44394457245264,""minimum_component_score"":0.0,""maximum_component_score"":95.75,""execution_candidate"":false,""informational_only"":true,""outcome_label"":""NEGATIVE"",""decision_rank"":1,""has_mint"":false,""has_route"":true,""has_error"":false}"
