institutional_schema_version,source_type,source_cycle_id,source_cycle_number,rows,successful_quotes,quote_errors,eligible_observations,profitable_observations,average_net_profit_usd,best_net_profit_usd,worst_net_profit_usd,average_total_cost_bps,average_quote_latency_ms,validation_status_counts,first_event_time,last_event_time,feature_store_schema_version,feature_rows
13B.1.0,HISTORICAL,CYCLE-000001-20260730T140940000000,1,100,100,0,0,0,-0.011197910000000007,-0.0013600000000000261,-0.18618199999999996,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000002-20260730T184642000000,2,100,100,0,0,0,-0.004773009999999997,-0.0016579999999999356,-0.025746999999999964,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-30T18:46:42.000+00:00,2026-07-30T18:46:42.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000003-20260730T191221000000,3,100,99,1,0,0,-0.003754919191919189,-0.0015750000000001024,-0.01030900000000001,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-30T19:12:21.000+00:00,2026-07-30T19:12:21.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000004-20260730T205554000000,4,100,99,1,0,0,-0.004865888888888891,-0.0013320000000001091,-0.023998999999999993,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-30T20:55:54.000+00:00,2026-07-30T20:55:54.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000005-20260730T213118000000,5,100,99,1,0,0,-0.004536818181818175,-0.0010129999999999289,-0.031776000000000026,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-30T21:31:18.000+00:00,2026-07-30T21:31:18.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000006-20260730T214218000000,6,100,100,0,1,1,-0.008601360000000008,0.025919000000000025,-0.20155100000000004,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-30T21:42:18.000+00:00,2026-07-30T21:42:18.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000007-20260731T024036000000,7,100,100,0,0,0,-0.00633174,-0.0016190000000000353,-0.026703000000000032,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T02:40:36.000+00:00,2026-07-31T02:40:36.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000008-20260731T031232000000,8,100,100,0,0,0,-0.007174490000000003,-0.0014259999999999256,-0.103881,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T03:12:32.000+00:00,2026-07-31T03:12:32.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000009-20260731T034122000000,9,100,100,0,0,0,-0.004673389999999996,-0.0004340000000000437,-0.021935999999999956,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T03:41:22.000+00:00,2026-07-31T03:41:22.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000010-20260731T035444000000,10,100,100,0,0,1,-0.005499540000000001,0.00012600000000007223,-0.02673800000000004,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T03:54:44.000+00:00,2026-07-31T03:54:44.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000011-20260731T040859000000,11,100,100,0,0,1,-0.004990909999999999,0.00113399999999997,-0.021930000000000005,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T04:08:59.000+00:00,2026-07-31T04:08:59.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000012-20260731T042406000000,12,100,100,0,0,0,-0.003758480000000008,-0.0012369999999999309,-0.011982000000000046,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T04:24:06.000+00:00,2026-07-31T04:24:06.000+00:00,13C.1.0,100
13B.1.0,HISTORICAL,CYCLE-000013-20260731T043323000000,13,100,100,0,0,0,-0.005448010000000002,-0.0017339999999999006,-0.030544000000000016,20.0,0.0,"{""HISTORICAL_UNVALIDATED"": 100}",2026-07-31T04:33:23.000+00:00,2026-07-31T04:33:23.000+00:00,13C.1.0,100
13B.1.0,VERIFIED_LIVE,2026-07-31 22:13:54,21,100,100,0,0,2,-0.0035989899999999938,0.006679000000000103,-0.011754999999999958,20.0,172.78752475889632,"{""VERIFIED_WITH_WARNING"": 100}",2026-08-01T02:13:57.945+00:00,2026-08-01T02:17:15.943+00:00,13C.1.0,100
