institutional_event_id,institutional_schema_version,feature_store_schema_version,source_type,source_dataset,source_schema_version,source_row_id,source_event_id,cycle_id,cycle_number,event_time,scan_time,token,token_key,mint,asset_key,buy_route,sell_route,route_pair,validation_status,research_eligible,starting_amount_usd,ending_amount_usd,gross_profit_usd,estimated_cost_usd,gross_edge_bps,total_cost_bps,slippage_bps,price_impact_bps,network_fee_usd,dex_fee_usd,slippage_cost_usd,liquidity_usd,volume_24h_usd,volume_liquidity_ratio,route_hops,dex_count,market_score,liquidity_score,volume_score,pair_score,intelligence_score,ai_priority,opportunity_probability,expected_profit_usd,combined_confidence,prediction_confidence,downside_risk,trend_score,stability_score,score_mean,score_std,score_min,score_max,score_range,quote_latency_ms,quote_age_ms,enrichment_quality_score,cycle_position,cycle_size,cycle_elapsed_seconds,scanner_speed_tokens_per_minute,source_is_historical,source_is_verified_live,validation_is_verified,validation_is_verified_with_warning,is_stale_quote,is_high_latency,is_high_price_impact,is_high_cost,is_low_liquidity,is_low_activity,prior_asset_observations,prior_asset_profitable_count,prior_asset_win_rate,prior_asset_average_net_profit_usd,prior_asset_average_net_edge_bps,prior_asset_average_cost_bps,prior_asset_average_latency_ms,prior_asset_profit_std_usd,prior_asset_best_profit_usd,prior_asset_worst_profit_usd,prior_cycle_observations,prior_cycle_profitable_count,prior_cycle_win_rate,prior_cycle_average_net_profit_usd,prior_cycle_average_net_edge_bps,prior_cycle_average_cost_bps,prior_global_observations,prior_global_profitable_count,prior_global_win_rate,prior_global_average_net_profit_usd,prior_global_average_net_edge_bps,prior_global_average_cost_bps,rolling_asset_observations,rolling_asset_profitable_count,rolling_asset_win_rate,rolling_asset_average_net_profit_usd,rolling_asset_average_net_edge_bps,rolling_asset_average_cost_bps,rolling_asset_average_latency_ms,rolling_asset_profit_std_usd,rolling_asset_best_profit_usd,rolling_asset_worst_profit_usd,rolling_global_observations,rolling_global_profitable_count,rolling_global_win_rate,rolling_global_average_net_profit_usd,rolling_global_average_net_edge_bps,rolling_global_average_cost_bps,label_quote_successful,label_eligible,label_profitable,label_outcome,label_decision,label_net_profit_usd,label_net_edge_bps
HISTORICAL:CYCLE-000001-20260730T140940000000:00000001,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,1,1,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,ZEC,ZEC,,SYMBOL:ZEC,HumidiFi → Meteora DLMM → Aquifer,GoonFi V2,HumidiFi → Meteora DLMM → Aquifer || GoonFi V2,HISTORICAL_UNVALIDATED,False,1.0,1.00064,0.0006399999999999739,0.002,6.399999999999739,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.22,91.78,95.75,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,True,False,False,NEGATIVE,SKIP,-0.0013600000000000261,-13.60000000000026
HISTORICAL:CYCLE-000001-20260730T140940000000:00000002,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,2,2,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,hyloSOL,HYLOSOL,,SYMBOL:HYLOSOL,Riptide → GoonFi V2 → Manifest,Whirlpool → AlphaQ → TesseraV,Riptide → GoonFi V2 → Manifest || Whirlpool → AlphaQ → TesseraV,HISTORICAL_UNVALIDATED,False,1.0,1.000573,0.0005729999999999347,0.002,5.729999999999347,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,1.7,12.75,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,-0.0013600000000000261,-13.60000000000026,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,-0.0013600000000000261,-13.60000000000026,20.0,True,False,False,NEGATIVE,SKIP,-0.0014270000000000654,-14.270000000000653
HISTORICAL:CYCLE-000001-20260730T140940000000:00000003,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,3,3,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,JUP,JUP,,SYMBOL:JUP,HumidiFi,Raydium CP → Raydium CLMM,HumidiFi || Raydium CP → Raydium CLMM,HISTORICAL_UNVALIDATED,False,1.0,1.000262,0.00026199999999998447,0.002,2.6199999999998447,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.18,80.45,88.39,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,-0.0013935000000000457,-13.935000000000457,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,-0.0013935000000000457,-13.935000000000457,20.0,True,False,False,NEGATIVE,SKIP,-0.0017380000000000156,-17.380000000000155
HISTORICAL:CYCLE-000001-20260730T140940000000:00000004,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,4,4,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,Infinex,INFINEX,,SYMBOL:INFINEX,Whirlpool,Aquifer → Byreal → GoonFi V2,Whirlpool || Aquifer → Byreal → GoonFi V2,HISTORICAL_UNVALIDATED,False,1.0,1.00025,0.0002500000000000835,0.002,2.500000000000835,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,11.05,27.76,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0.0,-0.001508333333333369,-15.08333333333369,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,-0.001508333333333369,-15.08333333333369,20.0,True,False,False,NEGATIVE,SKIP,-0.0017499999999999166,-17.499999999999165
HISTORICAL:CYCLE-000001-20260730T140940000000:00000005,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,5,5,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,USDT,USDT,,SYMBOL:USDT,Riptide,GoonFi V2 → Whirlpool,Riptide || GoonFi V2 → Whirlpool,HISTORICAL_UNVALIDATED,False,1.0,1.000249,0.0002489999999999437,0.002,2.489999999999437,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6,100.0,97.45,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4,0,0.0,-0.001568750000000006,-15.687500000000059,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,-0.001568750000000006,-15.687500000000059,20.0,True,False,False,NEGATIVE,SKIP,-0.0017510000000000563,-17.510000000000563
HISTORICAL:CYCLE-000001-20260730T140940000000:00000006,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,6,6,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,SPYx,SPYX,,SYMBOL:SPYX,AlphaQ → Whirlpool,AlphaQ,AlphaQ → Whirlpool || AlphaQ,HISTORICAL_UNVALIDATED,False,1.0,1.000235,0.00023499999999998522,0.002,2.349999999999852,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.93,87.54,89.8,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5,0,0.0,-0.001605200000000016,-16.05200000000016,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,-0.001605200000000016,-16.05200000000016,20.0,True,False,False,NEGATIVE,SKIP,-0.0017650000000000148,-17.650000000000148
HISTORICAL:CYCLE-000001-20260730T140940000000:00000007,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,7,7,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,JLP,JLP,,SYMBOL:JLP,Riptide → Manifest → GoonFi V2,Whirlpool,Riptide → Manifest → GoonFi V2 || Whirlpool,HISTORICAL_UNVALIDATED,False,1.0,1.000233,0.0002329999999999277,0.002,2.329999999999277,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.38,98.58,93.48,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6,0,0.0,-0.001631833333333349,-16.31833333333349,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.0,-0.001631833333333349,-16.31833333333349,20.0,True,False,False,NEGATIVE,SKIP,-0.0017670000000000723,-17.670000000000723
HISTORICAL:CYCLE-000001-20260730T140940000000:00000008,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,8,8,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,SOL,SOL,,SYMBOL:SOL,Riptide → HumidiFi,Raydium CLMM → Manifest,Riptide → HumidiFi || Raydium CLMM → Manifest,HISTORICAL_UNVALIDATED,False,1.0,1.00023,0.00022999999999995246,0.002,2.2999999999995246,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.37,99.43,100.0,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,7,0,0.0,-0.001651142857142881,-16.51142857142881,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0.0,-0.001651142857142881,-16.51142857142881,20.0,True,False,False,NEGATIVE,SKIP,-0.0017700000000000476,-17.700000000000475
HISTORICAL:CYCLE-000001-20260730T140940000000:00000009,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,9,9,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,JitoSOL,JITOSOL,,SYMBOL:JITOSOL,Riptide → GoonFi V2 → AlphaQ,AlphaQ → Raydium CLMM → Deriverse,Riptide → GoonFi V2 → AlphaQ || AlphaQ → Raydium CLMM → Deriverse,HISTORICAL_UNVALIDATED,False,1.0,1.000215,0.00021500000000007624,0.002,2.1500000000007624,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.42,97.17,95.18,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,8,0,0.0,-0.0016660000000000268,-16.660000000000267,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.0,-0.0016660000000000268,-16.660000000000267,20.0,True,False,False,NEGATIVE,SKIP,-0.0017849999999999238,-17.849999999999238
HISTORICAL:CYCLE-000001-20260730T140940000000:00000010,13B.1.0,13C.1.0,HISTORICAL,historical_backtest_events,UNKNOWN,10,10,CYCLE-000001-20260730T140940000000,1,2026-07-30T14:09:40.000+00:00,2026-07-30T14:09:40.000+00:00,USD1,USD1,,SYMBOL:USD1,Invariant → Whirlpool → AlphaQ,Manifest → GoonFi V2 → PancakeSwap,Invariant → Whirlpool → AlphaQ || Manifest → GoonFi V2 → PancakeSwap,HISTORICAL_UNVALIDATED,False,1.0,1.000203,0.00020299999999995322,0.002,2.029999999999532,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.97,95.75,90.65,84.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,9,0,0.0,-0.0016792222222222375,-16.792222222222378,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.0,-0.0016792222222222375,-16.792222222222378,20.0,True,False,False,NEGATIVE,SKIP,-0.0017970000000000468,-17.970000000000468
