category,name,passed,blocking,observed,comparison,required,message,source
FOUNDATION,PHASE_10C_DATA_SUFFICIENCY,False,True,False,==,True,Historical evidence remains below the hard Phase 10C sufficiency gate.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/backtesting/readiness/data_sufficiency_report.json
DATASET,INSTITUTIONAL_DATASET_VALID,True,True,True,==,True,The canonical institutional dataset must pass validation.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_dataset/institutional_dataset_validation.json
DATASET,INSTITUTIONAL_ROWS,False,True,1400,>=,10000,Collect more canonical institutional observations.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_dataset/institutional_dataset_manifest.json
DATASET,INSTITUTIONAL_CYCLES,False,True,14,>=,100,Collect more complete institutional scanner cycles.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_dataset/institutional_dataset_manifest.json
DATASET,PROFITABLE_OBSERVATIONS,False,True,5,>=,100,Collect more genuinely profitable observations.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_dataset/institutional_dataset_manifest.json
VERIFIED_LIVE,VERIFIED_LIVE_ROWS,False,True,100,>=,1000,Collect more verified-live feature rows.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_dataset/institutional_dataset_manifest.json
VERIFIED_LIVE,VERIFIED_LIVE_CYCLES,False,True,1,>=,20,Collect more verified-live scanner cycles.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_dataset/institutional_dataset_manifest.json
FEATURE_STORE,FEATURE_STORE_VALID,True,True,True,==,True,The institutional feature store must pass validation.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_feature_store/adapter_validation.json
WALK_FORWARD,COMPLETED_FOLDS,True,True,5,>=,5,Enough chronological walk-forward folds must complete.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
WALK_FORWARD,PROFITABLE_FOLDS,True,True,3,>=,3,Multiple walk-forward folds must remain profitable.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
WALK_FORWARD,OUT_OF_SAMPLE_TRADES,False,True,5,>=,50,Collect more out-of-sample trade examples.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
WALK_FORWARD,OUT_OF_SAMPLE_PROFIT,True,True,0.03574000000000011,>=,0.01,Out-of-sample profit must remain positive.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
WALK_FORWARD,OUT_OF_SAMPLE_PROFIT_FACTOR,True,True,1000000000000.0,>=,1.1,Out-of-sample profit factor must exceed the promotion threshold.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
WALK_FORWARD,OUT_OF_SAMPLE_DRAWDOWN,True,True,0.0,<=,10.0,Out-of-sample drawdown must remain controlled.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
WALK_FORWARD,WALK_FORWARD_PROMOTION,False,True,False,==,True,Phase 13D walk-forward promotion remains blocked.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_walk_forward/institutional_walk_forward_report.json
ROBUSTNESS,MONTE_CARLO_PATHS,True,True,5000,>=,5000,Enough Monte Carlo paths must complete.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_robustness/institutional_robustness_report.json
ROBUSTNESS,MONTE_CARLO_LOSS_PROBABILITY,True,True,0.1676,<=,0.4,Monte Carlo loss probability must remain below the gate.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_robustness/institutional_robustness_report.json
ROBUSTNESS,MEDIAN_STRESSED_PROFIT,True,True,0.02156238833959114,>=,0.01,Median stressed profit must remain positive.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_robustness/institutional_robustness_report.json
ROBUSTNESS,PROFITABLE_STRESS_SCENARIOS,True,True,8,>=,3,Multiple deterministic stress scenarios must remain profitable.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_robustness/institutional_robustness_report.json
ROBUSTNESS,ROBUSTNESS_PROMOTION,True,True,True,==,True,Phase 13E robustness validation must pass.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_robustness/institutional_robustness_report.json
